"group_code","group_id","group_name"
"ghsprmed320",101,"Geisinger PrimeMed - Peckville"
"gmg-nicholson",102,"Geisinger Clinic - Nicholson"
"ghsprmed3306",103,"Geisinger PrimeMed - Honesdale"
"gmg-mt. pocono",104,"Geisinger Clinic - Mt Pocono"
"gccoldsprings",105,"Geisinger Clinic-Cold Springs Rd."
"mtnitphygrpgreentech",106,"Mount Nittany Physician Group - Greentech Dr"
"159992554c",107,"Mount Nittany Physician Group - Park Ave"
"1598992554b",108,"Mount Nittany Physician Group-Blue Course Dr"
"gmg-grays",109,"GMG Grays Woods"
"gmg-philipsbu",110,"Geisinger Clinic - Philipsburg"
"108397",111,"Blodgett Optical, Inc."
"aecs115",112,"Center for Aesthetics & Cosmetic Surgery"
"dan  familyprac",113,"Danville Family Practice"
"gcjustindr_pal",114,"GC-Palliative Medicine @ Justin Dr"
"38541-c",115,"Geisinger HEALTHSOUTH Rehab Center of Danville"
"38541-e",116,"Geisinger HEALTHSOUTH Rehabilitation Hospital"
"26607-g",117,"Geisinger Medical Center-Outpatient Surgery-Woodbi"
"psg knapper ped",118,"Geisinger Woodbine - General Pediatrics"
"gmccossurg115",119,"GMC Cosmetic Surgery & Aesthetics - Woodbine"
"gmcdermwb",120,"GMC Dermatology"
"gmcpaincenter-woodbine",121,"GMC Interventional Pain Center Woodbine"
"gmc-ophthalmolo",122,"GMC Ophthalmology Woodbine"
"gmc-optom serv",123,"GMC Optometric Services"
"gmc-orthosurgwood",124,"GMC Orthopaedics"
"gmcsleepmed",125,"GMC Sleep Medicine"
"15543",126,"Gronsky, David R., D.C."
"susqvalleyfootdan",127,"Susquehanna Valley Foot & Ankle Center, Inc."
"bheyectrdanv",128,"The Eye Center of Central PA"
"gcpodiatry100",129,"GC Podiatry"
"gcsleepdanville",130,"GC-Sleep Services Danville"
"gmc-anesthesiol",131,"GMC Anesthesiology"
"gmccc100",132,"GMC Cardiopulmonary Care AGP5"
"gmc-cardio~vas",133,"GMC Cardiothoracic Surgery"
"gmc-cardiology",134,"GMC Cardiovascular Medicine"
"gmccns100",135,"GMC Clinical Nutrition Services"
"gmc-crit. care",136,"GMC Critical Care Medicine"
"gmc-dental med",137,"GMC Dental Medicine & Surgery"
"gmctranslivsurg",138,"GMC Dept. of Transplantation & Liver Surgery"
"gmc-dermatology",139,"GMC Dermatology"
"gmc-endocrinolo",140,"GMC Endocrinology"
"gmc-gen dia rad",141,"GMC General Diagnostic Radiology"
"gmc-peds",142,"GMC General Pediatric"
"gmc-gen surg",143,"GMC General Surgery"
"gmcgenomicmed",144,"GMC Genomic Medicine"
"gmc-ellison",145,"GMC Hematology/Oncology"
"gmc-hemonc",146,"GMC Hematology/Oncology"
"gmchepa",147,"GMC Hepatology"
"gmc-hospit",148,"GMC Hospitalist Program"
"gmc-infec. dis",149,"GMC Infectious Diseases"
"gmc-neonatology",150,"GMC Neonatology"
"gmc-nephrology",151,"GMC Nephrology"
"gmc-neurology",152,"GMC Neurology"
"gmcnp100",153,"GMC Neurophysiology"
"gmc-neurosurg",154,"GMC Neurosurgery"
"gmc-ob~gyn",155,"GMC Obstetrics/Gynecology"
"gmc-ortho surg",156,"GMC Orthopaedic Surgery"
"gmc-otol hn su",157,"GMC Otolaryngology"
"gmcpall",158,"GMC Palliative Medicine"
"gmc-peds allerg",159,"GMC Pediatric Allergy"
"gmc-peds card",160,"GMC Pediatric Cardiology"
"gmc-peds gastro",161,"GMC Pediatric Gastroenterology"
"gmc-peds neurol",162,"GMC Pediatric Neurology"
"gmc-peds pulmon",163,"GMC Pediatric Pulmonary Medicine"
"gmc-neurodevel",164,"GMC Pediatric Subspecialties-Neurodevelopmental Di"
"gmc-ped hemonc",165,"GMC Pediatrics/Hematology/Oncology"
"gmcpedshospitalist",166,"GMC Peds Hospitalist Program"
"gmc-plastic sur",167,"GMC Plastic Surgery"
"gmc pulmonary",168,"GMC Pulmonary"
"gmc-rad oncolog",169,"GMC Radiation Oncology"
"gmc-sleep disorder",170,"GMC Sleep Disorder Center"
"gmc-thoracic me",171,"GMC Thoracic Medicine"
"gmc-traumasurg",172,"GMC Trauma Surgery"
"gmc-urology",173,"GMC Urology"
"gmcvassurg",174,"GMC Vascular Surgery"
"gmc_woundcare",175,"GMC Wound Care"
"gmc-peds surg",176,"GMC-Pediatric Surgery"
"barclaywilsondo",177,"Barclay Wilson, D.O."
"20953",178,"Fetterman, David F., O.D."
"danielswelchmil",179,"Kevin M Welch DPM"
"12398",180,"King Chiropractic Inc."
"mhc115",181,"Milton Health Center"
"71057norry",182,"G William Orren III OD"
"in his shadow",183,"In His Shadow Family Medicine"
"gynevan998",184,"OB/GYN of Evangelical"
"mabus239",185,"Erika Mabus OD"
"28563bloom2",186,"Aquino, Edwin A MD"
"28563bloom",187,"Aquino, Edwin A MD"
"assocoralsurg812",188,"Associated Oral Surgeons, PC"
"13135",189,"Avenia, Ronald J MD"
"berccllc",190,"Berwick Medical Professionals - Bloomsburg"
"bloomvision",191,"Bloom Vision, LLC"
"chirocarebobneider",192,"Chiropractic Care Center"
"chirocaredalen",193,"Chiropractic Care Center"
"chirocaredalenieder",194,"Chiropractic Care Center"
"62125bloomsburg",195,"Chopra, Anuj K., M.D."
"compain6850",196,"Comprehensive Pain Management Specialists LLC"
"davidderosebloom",197,"David Peter DeRose, OD"
"browneye660",198,"Dr Brown's Eye Care"
"mabuswalmart100",199,"Erika Mabus OD   Walmart Vision Center"
"22702-j",200,"Eye Care Specialists PC"
"eyectrbloomsburg2401",201,"Eye Center of Central PA"
"30756",202,"Finnegan, Gary, O.D."
"gbhcardiacstds",203,"GBH Cardiac Studies"
"gbhcns549",204,"GBH Clinical Nutrition Services"
"gbhccm549",205,"GBH Critical Care Medicine"
"mcelroydc",206,"Andrew McElroy, DC"
"armc1925_card",207,"ARMC - Cardiac Diagnostics"
"armc1401",208,"ARMC Depart of Clinic Services"
"atlcarespeccare14012400",209,"ARMC Faculty Practice Enhanced Care Center"
"armctrauma1925",210,"ARMC Faculty Practice/ Trauma"
"atlcareinfdis",211,"ARMC Infectious Disease Care"
"armcsc1925",212,"ARMC Specialty Clinic"
"atlcarescompwell1401",213,"ARMC:Comprehensive Wellness Center"
"iezzidpm4503",214,"Associates in Podiatric Medicine & Surgery, PC"
"aoma3121",215,"Atlantic Oral & Maxillofacial Associates"
"ahsmission1401",216,"AtlantiCare Health Services Inc-Mission HealthCare"
"ahsmission2009",217,"AtlantiCare Health Services Inc-Mission HealthCare"
"atlcrphysgrp1401",218,"AtlantiCare Physician Group"
"atlcrhealthserv",219,"Atlanticare Physician Group - Borgata Med Unit"
"atlcare24",220,"Atlanticare Physician Group - Primary Care Plus"
"apg1925",221,"AtlantiCare Physician Group PA"
"apgneuro1925",222,"AtlantiCare Physician Group-Neurosciences"
"atlcarespeccare1401",223,"Atlanticare Special Care Center"
"bp2829",224,"Brighton Pediatrics"
"fvc1440",225,"Family Vision Care"
"ima16",226,"Island Medical Associates PA"
"jna1925",227,"Jefferson Neurosciences at Atlanticare"
"jeffneu1925",228,"Jefferson Neurosurgical Associates @ Atlantic City"
"reliance4401_2",229,"Reliance Medical Group LLC"
"reliance4401",230,"Reliance Medical Group LLC"
"ssa3201",231,"Salartash Surgical Association LLC"
"soc1128",232,"Spine One Chiropractic"
"aiim6508",233,"Absecon Island Internal Medicine"
"apg6725",234,"Atlanticare Physician Group - Atlantic Cardiology"
"apg6601",235,"Atlanticare Physician Group - Cardiology"
"atcarphys7313",236,"AtlantiCare Physician Group - Primary Care Plus"
"boardwalk6725",237,"Boardwalk Surgical Associates"
"smith4807",238,"David J Smith MD PA"
"kasper6725",239,"John Kasper, DO"
"mg6309",240,"Medamerica Group, LLC"
"spcltymdcnslts6725",241,"Specialty Med Consultants LLC"
"vp6601",242,"Ventnor Pediatrics, Inc"
"abc3005",243,"Atlantic Brigantine Chiropractic"
"atlcarphys353",244,"Atlanticare Physician Group - Primary Care Plus"
"tracyod",245,"Emerson R Tracy, OD"
"morrisondc",246,"Jill Morrison DC LLC"
"hec9701",247,"Horizon Eye Care"
"midatlanret9701",248,"Mid Atlantic Retina"
"paac9009",249,"Pediatric Associates of Atlantic County"
"acobgyn707",250,"Advanced Care OB/GYN LLC"
"fiorentino",251,"Diego Fiorentino, DO"
"pc3069",252,"Premier Cardiology LLC"
"ph1129",253,"Premier Healthcare"
"asoa611",254,"ASOA, LLC"
"aoma1124",255,"Atlantic Oral & Maxillofacial Associates"
"atlanticarephys",256,"Atlanticare Physician Group - Primary Care Plus"
"boardwalk1601",257,"Boardwalk Surgical Associates"
"dermone200",258,"DermOne Dermatology of the Garden State, PC"
"gcwc1423",259,"Gillman Chiropractic and Wellness Center"
"gitto331",260,"Gitto Chiropractic"
"nazhacncrctr",261,"Nazha Cancer Center"
"ppaasj1750",262,"Pediatric Pulmonary & Asthma Associates of South J"
"ppma802",263,"Professional Pain Management Associates"
"rna510",264,"Regional Nephrology Associates"
"reliance1750",265,"Reliance Medical Group LLC"
"retophthconslt1500",266,"Retinal & Ophthalmic Consultants PC"
"shorechiro2400",267,"Shore Chiropractic Center"
"soc1701",268,"Spine One Chiropractic"
"voso216",269,"Stephen Voso DC"
"tcp2322",270,"Tender Care Pediatrics"
"hcda1220",271,"The Harkaway Center for Dermatology & Aesthetics"
"ahng2021",272,"Accent Head & Neck Group PA"
"acobgyn2106",273,"Advanced Care OB/GYN LLC"
"adlc1401",274,"Atlantic Dermatology & Laser Center"
"apgc2106",275,"Atlanticare Physician Group - Cardiology"
"apgobgyn2021",276,"Atlanticare Physician Group - OB/GYN"
"atlanticarephys1201",277,"Atlanticare Physician Group - Primary Care Plus"
"cjec2021",278,"Coastal Jersey Eye Center LLC"
"coms199",279,"Coastal Oral & Maxillofacial Surgeons PA"
"connolly2106",280,"Coyle S Connolly DO PA"
"maleki2106",281,"Dordaneh Maleki MD LLC"
"altman2106",282,"Dr. Matthew S Altman, DC"
"frcs222",283,"Feldman-Rayfield Cosmetic Surgery PA"
"delasotta",284,"Fernando Delasotta, MD PA"
"brennandc",285,"Jeanne T. Brennan DC"
"lgzsa1999",286,"Lowe Greenwood Zerbo Spinal Associates"
"mainheart2106",287,"Mainland Heart Consultants"
"mwrc2021",288,"Mainland Wellness & Rehabilitation Center"
"pernice2106",289,"Mark Pernice DO"
"frisko",290,"Peter Frisko OD"
"priya2106",291,"Priya J Wagle, MD"
"qec2020",292,"Quality Eye Center"
"santorodc327",293,"Santoro Chiropractic and Wellness Center, LLC"
"sjent2106",294,"South Jersey ENT Surgical Associates LLC"
"tpa2106",295,"Trilogy Pain Associates"
"aasj408",296,"Allergy & Asthma of South Jersey"
"atlfootank76",297,"Altantic Foot & Ankle"
"aspm54",298,"American Sleep & Pulmonary Medicine, PC"
"acfsr506",299,"Atlantic County Family Spine & Rehab"
"ahrc415",300,"Atlantic Heart Rhythm Center, PC"
"apcca110",301,"Atlantic Pulmonary & Critical Care Associates PA"
"apcca741",302,"Atlantic Pulmonary & Critical Care Associates PA"
"atlanticpulm741",303,"Atlantic Pulmonary & Critical Care Associates PA"
"apc436",304,"Atlanticare Physician Group - Atlantic Cardiology"
"apgc318",305,"Atlanticare Physician Group - Cardiology"
"gbhendo",306,"GBH Endocrinology"
"gbhgastro",307,"GBH Gastroenterology"
"gbhho549",308,"GBH Hematology/Oncology"
"ghospservbloom",309,"GBH Hospitalist Program"
"gbhios549",310,"GBH In and Out Surgery"
"gbhmsu549",311,"GBH Med Surg Unit"
"gbhneuro549",312,"GBH Neurology"
"gbhotolaryn549",313,"GBH Otolaryngology"
"gbhpmr549",314,"GBH Physical Medicine and Rehabilitation"
"ghbpsm549",315,"GBH Pulmonary and Sleep Medicine"
"gbhrad549",316,"GBH Radiology"
"gbhthormed549",317,"GBH Thoracic Medicine"
"gbhwldrp549",318,"GBH Women's LDRP Unit"
"gcpeds",319,"GC - Cardiology Bloomsburg"
"gcsleep",320,"GC-Sleep Services Bloomsburg"
"gmgbloom447",321,"Geisinger Clinic - Bloomsburg East First St"
"gmgbloompeds",322,"Geisinger Clinic - Bloomsburg Pediatrics"
"gmg-bloom-gesur",323,"Geisinger Clinic - Bloomsburg Surgery"
"gbh_obgyn_425",324,"Geisinger OB/GYN Dept - Bloomsburg"
"gmcortho480",325,"Geisinger Orthopaedic Central Road"
"gmg-bloom-obgyn",326,"Geisinger Women's Health at Bloomsburg"
"bloomsburgsleep6850",327,"GMC Bloomsburg Sleep Disorder Center"
"gmccardio6850",328,"GMC-Lows Road Cardiology"
"jamesweyandbloom",329,"James Joseph Weyand, OD"
"kubickipodbloom",330,"Kubicki Podiatry PC"
"mtviewortho-bloom",331,"Mountain View Orthopaedics & Associates"
"englemandc540",332,"Neil R Engleman DC"
"36270bloomsburg",333,"Northeast Ear Nose & Throat Associates Inc"
"bhealths",334,"OB/GYN Associates @ Bloomsburg"
"pfas410",335,"Portonova Foot and Ankle Specialists"
"rajpchopra",336,"Raj P. Chopra, M.D., PC"
"1699704544",337,"Russell M Hoch Chiropractic & Rehab"
"seesholtzchir2607",338,"Seesholtz Chiropractic"
"70226",339,"Serniak, Joseph, OD"
"suracisrinivasa",340,"Suraci and Srinivasan Urological Associates"
"svoa",341,"Susquehanna Valley Medical Specialties"
"susqvalwomblo",342,"Susquehanna Valley Womens Health"
"berwmpbay",343,"Berwick Medical Professionals - Baylor"
"watchiro",344,"Watsontown Chiropractic"
"hamptonchiro",345,"Hamptons Chiropractic Inc"
"19796",346,"James L Schmitt OD"
"keystoneomfs",347,"Keystone OMFS PC"
"mfp",348,"Muncy Family Practice"
"43663",349,"Peter B Trevouledes MD"
"shuler",350,"Shuler Foot Care Center"
"twin hills",351,"Twin Hills Chriopractic Health Center, PC"
"75790pennsdale",352,"William R Forse OD"
"11750",353,"Young W. Park, M.D."
"mabuswalmart1015",354,"Erika Mabus OD   Walmart Vision Center"
"gem10",355,"Geisinger Endoscopy Montoursville"
"fishergrmtsville",356,"Gregg Joseph Fisher DC"
"chopraseling",357,"Anuj K Chopra MD"
"eyelandshamdam",358,"Eyeland Optical Inc"
"pshcsunb",359,"Pennsylvania Spine and Headache Center"
"bheyectrselinsg",360,"The Eye Center of Central PA"
"wynwood eyeclin",361,"Wynwood Eye Clinic"
"albrightfootsun",362,"Albright Footcare Center, LLC"
"assocoralsurg",363,"Associated Oral Surgeons, PC"
"20572",364,"Catalano, Anthony C., M.D."
"centralpennwomens",365,"Central Penn Womens Health Care PC"
"ccs222",366,"Chiropractic Center of Sunbury"
"colpainmgtsun",367,"Columbia Pain Management"
"c3be",368,"Community Care Family Practice of Sunbury"
"commcareimsunbury",369,"Community Care Internal Medicine of Sunbury"
"designfameyeyork",370,"Designer Eyeglass Ltd."
"gos",371,"Geisinger Ophthalmology - Sunbury"
"gmg-obgynsun",372,"Geisinger Women's Health at Sunbury Hospital"
"46726",373,"Hepner, Mark L., O.D."
"orthoinstpa330",374,"Orthopedic Institute of Pennsylvania"
"pagana_paganad",375,"Pagana & Pagana-DeFazio Family Practice, LLC"
"21224",376,"Phillips, Michael A., D.C."
"19189",377,"Ravert, Steven D., D.P.M."
"sunclin337",378,"Sunbury Clinic Company LLC"
"sunburycc",379,"Sunbury Clinic Company LLC"
"advcarechiro",380,"Advanced Care Chiropractic"
"albrightfootcar",381,"Albright Footcare Center LLC"
"allergy~asthma",382,"Allergy Partners of Lewisburg"
"evananest1",383,"Anesthesiology of Evangelical"
"assocoralsurgl",384,"Associated Oral Surgeons, PC"
"gmcautism120",385,"Autism & Developmental Medicine Institute GMC"
"barevan7095",386,"Bariatric Center of Evangelical"
"betzophthassoc",387,"Betz Ophthalmology Associates, PC"
"brookpark",388,"Brookpark Family Practice"
"bush",389,"Bucknell University Student Health"
"buzeiglerhc701",390,"Bucknell University Ziegler Health Center"
"centralpenngast",391,"Central Penn Gastroenterology Associates"
"csss25",392,"Central Susquehanna Surgical Specialists"
"davidclarklewisburg",393,"David M. Clark, OD"
"davidderoselewisburg",394,"David Peter DeRose, OD"
"diabctrevan7095",395,"Diabetes Center of Evangelical"
"mabuswalmart120",396,"Erika Mabus OD   Walmart Vision Center"
"evangelical",397,"Evangelical Geisinger Health LLC"
"emsocard3",398,"Evangelical Medical Services - Cardiology"
"emso blakeslee",399,"Evangelical Medical Services - Neurology"
"emso john rice",400,"Evangelical Medical Services - Neurology"
"emso one",401,"Evangelical Medical Services Organization"
"emso1hospdr",402,"Evangelical Medical Services Organization"
"eyectrlewis408",403,"Eye Center of Central PA"
"fmmedemso7095",404,"Family Medicine of Evangelical- Lewisburg West Bra"
"famplanplus",405,"Family Planning Plus"
"gconc75",406,"Geisinger Cancer Center of Lewisburg"
"gclewu",407,"Geisinger Clinic Lewisburg Urology"
"ghvilew",408,"Geisinger Heart and Vascular Institute"
"glped",409,"Geisinger Lewisburg Pediatrics"
"gmcmedonc",410,"Geisinger Medical Oncology - Lewisburg"
"ghsophth115",411,"Geisinger Ophthalmology - Lewisburg"
"gol1717",412,"Geisinger Optometry Lewisburg"
"heartvasc3",413,"Heart & Vascular Center of Evangelical"
"jamesweyandlewisburg",414,"James Joseph Weyand, OD"
"lwbggynob",415,"Lewisburg Gynecology & Obstetrics, PC"
"lp",416,"Lewisburg Pediatrics"
"lewplastic135",417,"Lewisburg Plastic Surgery & Laser Center"
"lsscc114",418,"Lewisburg Sport & Spine Chiropractic Center"
"lipski eye cent",419,"Lipski Eye Center, Inc."
"medical park",420,"Medical Park Ear, Nose and Throat, LTD."
"obgynevan3",421,"OB/GYN of Evangelical"
"evanpeds1",422,"Pediatrics of Evangelical"
"robertlongmd",423,"Robert Long, M.D."
"sunevan900",424,"SUN Orthopaedics of Evangelical"
"spsneurosurg260",425,"Susquehanna Hlth Neurological Surgery"
"26607-i",426,"Susquehanna Valley Imaging - Geisinger"
"bheyectrlewisbu",427,"The Eye Center of Central PA"
"wbna-lewisburg",428,"West Branch Nephrology Associates Ltd"
"whypevan7095",429,"Wound & Hyperbaric Center of Evangelical"
"28563coaltownsh",430,"Aquino, Edwin A MD"
"23-2310189",431,"Gearhart Family Chiropractic Center"
"geo436",432,"Geisinger Elysburg Orthopaedics"
"gmconc436",433,"Geisinger Medical Oncology - Elysburg"
"sunevan289",434,"SUN Orthopaedics of Evangelical"
"eyectrpax",435,"The Eye Center of Central PA"
"atlcrphysgrp54",436,"Atlanticare Physician Group - Cardiology"
"apggs415",437,"Atlanticare Physician Group - General Surgery"
"apgobgyn72",438,"Atlanticare Physician Group - OB-GYN"
"apgpeds53",439,"Atlanticare Physician Group - Pediatrics"
"atlcarphys310",440,"Atlanticare Physician Group - Primary Care Plus"
"atlcarphy408",441,"Atlanticare Physician Group - Primary Care Plus"
"apgr318",442,"Atlanticare Physician Group - Rheumatology"
"apc415",443,"AtlantiCare Physician Group PA - Cardiology"
"atlcarespeccare54",444,"Atlanticare Special Care Center"
"atlcare110",445,"AtlantiCare Urgent Care Center"
"cnsmithville",446,"Care Network Smithville"
"marchesani",447,"Diane Marchesani, DO LLC"
"rossdc",448,"Dr. Bill Ross DC LLC"
"footankle408",449,"Foot and Ankle Center of South Jersey"
"gp53",450,"Galloway Pediatric LLC"
"haschiro542",451,"Haslett Chiropractic Center"
"hec76",452,"Horizon Eye Care"
"jug408",453,"Jersey Urology Group PA"
"kpaps72",454,"Kasica Professional Anesthesia and Pain Services"
"ladies314",455,"Ladies Choice Obstetrics and Gynecology"
"kaufmanmd76",456,"Larry J Kaufman MD"
"lollachiro",457,"Lolla Chiropractic Center"
"mainheart318",458,"Mainland Heart Consultants"
"mcc109",459,"McElroy Chiropractic Center LLC"
"borai54",460,"Nasser Borai MD LLC"
"nashacncrctr436",461,"Nazha Cancer Center"
"njsouthcoast415",462,"NJ South Coast Medical Center"
"premieronco54",463,"Premier Oncology LLC"
"qma29",464,"Quality Medical Associates"
"reliance408_b",465,"Reliance Medical Group LLC"
"reliance408_c",466,"Reliance Medical Group LLC"
"reliance53",467,"Reliance Medical Group LLC"
"soms54",468,"Shore Oral and Maxillofacial Surgery LLC"
"soua18",469,"Shore Orthopaedic University Associates PA"
"wfec54",470,"Wise Family Eye Center LLC"
"armc65_card",471,"ARMC - Cardiac Diagnostics"
"armccdx65",472,"ARMC- CDX- Jimmie Leeds"
"aga72",473,"Atlantic Gastroenterology Associates"
"apgcardio65",474,"Atlanticare Physician Group - Cardiology"
"apg65",475,"AtlantiCare Physician Group PA"
"brm61",476,"Bacharach Rehabilitation Medicine"
"chchopaltantic65",477,"CHOP Care Network @ AtlantiCare Medical Center"
"cidc208",478,"Coastal Infectious Disease Consultants"
"cobgyn72",479,"Coastal Obstetrics & Gynecology Associates PA"
"smallwooddc",480,"Gregory Smallwood, DC"
"robchiro287",481,"Jacqueline A Robinson, PC"
"paac108",482,"Pediatric Associates of Atlantic County"
"ssa30",483,"Salartash Surgical Association LLC"
"atlcarphys48",484,"Atlanticare Physician Group - Primary Care Plus"
"campchiro2",485,"Camp Chiropractic Care"
"hymes",486,"Gary S Hymes DPM"
"millerdc",487,"Miller Chiropractic"
"pc258",488,"Premier Cardiology LLC"
"pritzgray921",489,"Pritz & Gray Eyecare"
"reliance22",490,"Reliance Medical Group LLC"
"reliance850",491,"Reliance Medical Group LLC"
"benderdpm",492,"Steven Bender DPM PC"
"santosmiranda204",493,"Chona Santos Miranda MD"
"jug410",494,"Jersey Urology Group PA"
"soc300",495,"Spine One Chiropractic"
"atlallergy408",496,"Atlantic Allergy and Asthma Center PC"
"apg443_201",497,"Atlanticare Physician Group - Cardiology"
