"field_type_id","default_value","required_field","search_id","field_options"
5,"",TRUE,3,NA
6,NA,TRUE,3,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,3,NA
8,"",FALSE,3,NA
9,NA,FALSE,3,"&FP&GP&GERIATRICS&INT_MED&IM_PEDS&PEDIATRICS"
10,"TRUE",FALSE,3,NA
11,"TRUE",FALSE,3,NA
0,"FALSE",TRUE,4,NA
1,"True",TRUE,4,NA
2,"pgrpnp",TRUE,4,NA
3,"geisinger-choice-ppo",TRUE,4,NA
4,"24",TRUE,4,NA
5,"",TRUE,4,NA
6,NA,TRUE,4,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,4,NA
8,"",FALSE,4,NA
9,NA,FALSE,4,"&ACUPUNCTURE&ADOL_MED&ALLERGY&CARDIOLOGY&CHIRO&CLIN_GEN&CLIN_NEU&COL_SURG&CC_MED&DERMATOLOGY&DERMPATH&ENDO&FP&GASTRO&GERIATRICS&GYN_ONC&GYNECOLOGY&HAND_SURG&HEMATOLOGY&INF_DIS&INT_MED&IM_PEDS&INT_CARD&MF_MED&MED_ONC&NEONATAL&NEPHROLOGY&ND_DIS&NEU_SURG&NEUROLOGY&NEU_PSYCH&MIDWIFE&OB_GYN&OCC_MED&OPHTHALMOLOGY&OPTOMETRY&ORAL_SURG&ORTHO_SURG&OTOLARYNGOLOGY&PAIN_MGMT&PED_ALL&PED_CARD&PED_CCM&PED_DENT&PED_ENDO&PED_GASTRO&PED_HEMONC&PED_ID&PED_NEPH&PED_NEURO&PED_PULM&PED_RHEUM&PED_SURG&PEDIATRICS&PHYSIATRY&PLASTIC_SURG&PODIATRY&PREV_MED&PSYCHIATRY&PUL_DIS&RAD_ONC&REP_ENDO&RHEUMATOLOGY&SLEEP_MED&SOC_WORK&SPORTS_MED&SURGERY&SURG_CC&THOR_SURG&UROLOGY&VASC_RAD&VASC_SURG"
0,"FALSE",TRUE,5,NA
1,"True",TRUE,5,NA
2,"pgrpnp",TRUE,5,NA
3,"geisinger-choice-ppo",TRUE,5,NA
4,"2",TRUE,5,NA
5,"",TRUE,5,NA
6,NA,TRUE,5,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,5,NA
0,"FALSE",TRUE,6,NA
1,"True",TRUE,6,NA
2,"pgrpnp",TRUE,6,NA
3,"geisinger-choice-ppo",TRUE,6,NA
4,"3",TRUE,6,NA
5,"",TRUE,6,NA
6,NA,TRUE,6,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,6,NA
13,NA,FALSE,6,"&AUTISM_SERVICES"
0,"FALSE",TRUE,7,NA
1,"True",TRUE,7,NA
2,"pgrpnp",TRUE,7,NA
3,"geisinger-choice-ppo",TRUE,7,NA
4,"4",TRUE,7,NA
5,"",TRUE,7,NA
6,NA,TRUE,7,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,7,NA
0,"FALSE",TRUE,8,NA
1,"True",TRUE,8,NA
2,"pgrpnp",TRUE,8,NA
3,"geisinger-choice-ppo",TRUE,8,NA
4,"5",TRUE,8,NA
5,"",TRUE,8,NA
6,NA,TRUE,8,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,8,NA
0,"FALSE",TRUE,9,NA
1,"True",TRUE,9,NA
2,"pgrpnp",TRUE,9,NA
3,"geisinger-choice-ppo",TRUE,9,NA
4,"9",TRUE,9,NA
5,"",TRUE,9,NA
6,NA,TRUE,9,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,9,NA
13,NA,FALSE,9,"&AUTISM_SERVICES&BARIATRIC_SURG&BONE_DENSITY&CARD_CATH&CARD_REHAB&CARDIAC_SURGERY&CHEMO&CTA&DIAG_RADIOLOGY&ECHO&HAND_THERAPY&ICU&LITHOTRIPSY&LTAC&MRA&MRI&MAMMOGRAPHY&NUCLEAR_MED&OBSTETRICS&OT&OPEN_MRI&PT&ULTRASOUND"
0,"FALSE",TRUE,10,NA
1,"True",TRUE,10,NA
2,"pgrpnp",TRUE,10,NA
3,"geisinger-choice-ppo",TRUE,10,NA
4,"10",TRUE,10,NA
5,"",TRUE,10,NA
6,NA,TRUE,10,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,10,NA
0,"FALSE",TRUE,11,NA
1,"True",TRUE,11,NA
2,"pgrpnp",TRUE,11,NA
3,"geisinger-choice-ppo",TRUE,11,NA
4,"11",TRUE,11,NA
5,"",TRUE,11,NA
6,NA,TRUE,11,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,11,NA
0,"FALSE",TRUE,12,NA
1,"True",TRUE,12,NA
2,"pgrpnp",TRUE,12,NA
3,"geisinger-choice-ppo",TRUE,12,NA
4,"12",TRUE,12,NA
5,"",TRUE,12,NA
6,NA,TRUE,12,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,12,NA
13,NA,FALSE,12,"&CARD_EVENT_MON&MOBILE_CARD_TELE&PACEMAKER_MON"
0,"FALSE",TRUE,13,NA
1,"True",TRUE,13,NA
2,"pgrpnp",TRUE,13,NA
3,"geisinger-choice-ppo",TRUE,13,NA
4,"16",TRUE,13,NA
5,"",TRUE,13,NA
6,NA,TRUE,13,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,13,NA
13,NA,FALSE,13,"&BONE_DENSITY&BREAST_MRI&CT_SCANS&CTA&DIAG_RADIOLOGY&ECHO&FLUOROSCOPY&MRA&MRCP&MRI&MAMMOGRAPHY&MOBILE_XRAY&OPEN_MRI&PET_SCANS&ULTRASOUND"
0,"FALSE",TRUE,14,NA
1,"True",TRUE,14,NA
2,"pgrpnp",TRUE,14,NA
3,"geisinger-choice-ppo",TRUE,14,NA
4,"17",TRUE,14,NA
5,"",TRUE,14,NA
6,NA,TRUE,14,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,14,NA
13,NA,FALSE,14,"&AQUATIC_THERAPY&AUTISM_SERVICES&CARD_REHAB&HAND_THERAPY&IP_REHAB&LYMPHADEMA_PUMPS&OT&OP_PUL_REHAB&PEDS_OT&PEDS_PT&PT&ST"
0,"FALSE",TRUE,15,NA
1,"True",TRUE,15,NA
2,"pgrpnp",TRUE,15,NA
3,"geisinger-choice-ppo",TRUE,15,NA
4,"18",TRUE,15,NA
5,"",TRUE,15,NA
6,NA,TRUE,15,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,15,NA
13,NA,FALSE,15,"&AED&BARIATRIC_BED&CPR&EHR&IP_HOSPICE&BI_PAP&ISOLATION&OUTPAT_REHAB&PSYCH_DEMENTIA&RESPITE&TPN&VENT_BEDS_LTC&VENT_BEDS_WEANING&WOUND_OST_NURSE"
0,"FALSE",TRUE,16,NA
1,"True",TRUE,16,NA
2,"pgrpnp",TRUE,16,NA
3,"geisinger-choice-ppo",TRUE,16,NA
4,"27",TRUE,16,NA
5,"",TRUE,16,NA
6,NA,TRUE,16,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,16,NA
0,"FALSE",TRUE,17,NA
1,"True",TRUE,17,NA
2,"pgrpnp",TRUE,17,NA
3,"geisinger-choice-ppo",TRUE,17,NA
4,"19",TRUE,17,NA
5,"",TRUE,17,NA
6,NA,TRUE,17,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,17,NA
0,"FALSE",TRUE,18,NA
1,"True",TRUE,18,NA
2,"pgrpnp",TRUE,18,NA
3,"geisinger-choice-ppo",TRUE,18,NA
4,"1",TRUE,18,NA
5,"",TRUE,18,NA
6,NA,TRUE,18,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,18,NA
0,"FALSE",TRUE,19,NA
1,"True",TRUE,19,NA
2,"pgrpnp",TRUE,19,NA
3,"geisinger-choice-ppo",TRUE,19,NA
4,"7",TRUE,19,NA
14,NA,TRUE,19,"AL&AK&AZ&AR&CA&CO&CT&DE&FL&GA&HI&ID&IL&IN&IA&KS&KY&LA&ME&MD&MA&MI&MN&MS&MO&MT&NE&NV&NH&NJ&NM&NY&NC&ND&OH&OK&OR&PA&RI&SC&SD&TN&TX&UT&VT&VA&WA&WV&WI&WY"
15,NA,TRUE,19,""
12,"",FALSE,19,NA
13,NA,FALSE,19,"&AIR_CLEAR_SYS&BI_DIRECT_DEVICE&BONE_GROWTH&CPMS&CUST_REHAB_EQ&DYNA_SPLINT_DEV&INSULIN_PUMPS&LYMPHADEMA_PUMPS&OSTOMY_SUPPLIES&PWR_WHEEL_CHAIRS&SCOOTERS&SEATLIFT_CHAIR&SPLINT&UROLOGICAL_SUP&WOUND_OST_SUP&WOUND_VAC_SUP"
0,"FALSE",TRUE,20,NA
1,"True",TRUE,20,NA
2,"pgrpnp",TRUE,20,NA
3,"geisinger-choice-ppo",TRUE,20,NA
4,"8",TRUE,20,NA
14,NA,TRUE,20,"AL&AK&AZ&AR&CA&CO&CT&DE&FL&GA&HI&ID&IL&IN&IA&KS&KY&LA&ME&MD&MA&MI&MN&MS&MO&MT&NE&NV&NH&NJ&NM&NY&NC&ND&OH&OK&OR&PA&RI&SC&SD&TN&TX&UT&VT&VA&WA&WV&WI&WY"
15,NA,TRUE,20,""
12,"",FALSE,20,NA
13,NA,FALSE,20,"&HOME_HEALTH&HH_MAT_CHILD&HOSPICE"
0,"FALSE",TRUE,21,NA
1,"True",TRUE,21,NA
2,"pgrpnp",TRUE,21,NA
3,"geisinger-choice-ppo",TRUE,21,NA
4,"13",TRUE,21,NA
5,"",TRUE,21,NA
6,NA,TRUE,21,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,21,NA
0,"FALSE",TRUE,22,NA
1,"True",TRUE,22,NA
2,"pgrpnp",TRUE,22,NA
3,"geisinger-choice-ppo",TRUE,22,NA
4,"30",TRUE,22,NA
5,"",TRUE,22,NA
6,NA,TRUE,22,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,22,NA
0,"FALSE",TRUE,23,NA
1,"True",TRUE,23,NA
2,"pgrpnp",TRUE,23,NA
3,"geisinger-choice-ppo",TRUE,23,NA
4,"14",TRUE,23,NA
5,"",TRUE,23,NA
6,NA,TRUE,23,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,23,NA
0,"FALSE",TRUE,24,NA
1,"True",TRUE,24,NA
2,"pgrpnp",TRUE,24,NA
3,"geisinger-choice-ppo",TRUE,24,NA
4,"15",TRUE,24,NA
5,"",TRUE,24,NA
6,NA,TRUE,24,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,24,NA
13,NA,FALSE,24,"&MAST_SUPPLIES&ORTHO_DEV_LL&ORTHO_DEV_UL&ORTHO_SHOES&ORTHOTICS&PROSTHETICS&PROST_CUSTOM"
0,"FALSE",TRUE,25,NA
1,"True",TRUE,25,NA
2,"pgtp",TRUE,25,NA
3,"geisinger-health-options",TRUE,25,NA
4,"-1",TRUE,25,NA
5,"",TRUE,25,NA
6,NA,TRUE,25,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,25,NA
8,"",FALSE,25,NA
9,NA,FALSE,25,"&ACUPUNCTURE&ADOL_MED&ALLERGY&CARDIOLOGY&CHIRO&CLIN_GEN&CLIN_NEU&COL_SURG&CC_MED&DERMATOLOGY&DERMPATH&ENDO&FP&GASTRO&GP&GERIATRICS&GYN_ONC&GYNECOLOGY&HAND_SURG&HEMATOLOGY&INF_DIS&INT_MED&IM_PEDS&INT_CARD&MF_MED&MED_ONC&NEONATAL&NEPHROLOGY&ND_DIS&NEU_SURG&NEUROLOGY&NEU_PSYCH&MIDWIFE&OB_GYN&OCC_MED&OPHTHALMOLOGY&OPTOMETRY&ORAL_SURG&ORTHO_SURG&OTOLARYNGOLOGY&PAIN_MGMT&PED_ALL&PED_CARD&PED_CCM&PED_DENT&PED_ENDO&PED_GASTRO&PED_HEMONC&PED_ID&PED_NEPH&PED_NEURO&PED_PULM&PED_RHEUM&PED_SURG&PEDIATRICS&PHYSIATRY&PLASTIC_SURG&PODIATRY&PREV_MED&PSYCHIATRY&PUL_DIS&RAD_ONC&REP_ENDO&RHEUMATOLOGY&SLEEP_MED&SOC_WORK&SPORTS_MED&SURGERY&SURG_CC&THOR_SURG&UROLOGY&VASC_RAD&VASC_SURG"
10,"TRUE",FALSE,25,NA
11,"TRUE",FALSE,25,NA
0,"FALSE",TRUE,27,NA
1,"True",TRUE,27,NA
2,"pgtp",TRUE,27,NA
3,"geisinger-health-options",TRUE,27,NA
4,"21",TRUE,27,NA
5,"",TRUE,27,NA
6,NA,TRUE,27,"10&20&30&40&50&60&70&80&90&100"
10,"TRUE",FALSE,27,NA
11,"TRUE",FALSE,27,NA
12,"",FALSE,27,NA
0,"FALSE",TRUE,28,NA
1,"True",TRUE,28,NA
2,"pgtp",TRUE,28,NA
3,"geisinger-health-options",TRUE,28,NA
4,"23",TRUE,28,NA
5,"",TRUE,28,NA
6,NA,TRUE,28,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,28,NA
8,"",FALSE,28,NA
9,NA,FALSE,28,"&FP&GP&GERIATRICS&INT_MED&IM_PEDS&PEDIATRICS"
10,"TRUE",FALSE,28,NA
11,"TRUE",FALSE,28,NA
0,"FALSE",TRUE,29,NA
1,"True",TRUE,29,NA
2,"pgtp",TRUE,29,NA
3,"geisinger-health-options",TRUE,29,NA
4,"24",TRUE,29,NA
5,"",TRUE,29,NA
6,NA,TRUE,29,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,29,NA
8,"",FALSE,29,NA
9,NA,FALSE,29,"&ACUPUNCTURE&ADOL_MED&ALLERGY&CARDIOLOGY&CHIRO&CLIN_GEN&CLIN_NEU&COL_SURG&CC_MED&DERMATOLOGY&DERMPATH&ENDO&FP&GASTRO&GERIATRICS&GYN_ONC&GYNECOLOGY&HAND_SURG&HEMATOLOGY&INF_DIS&INT_MED&IM_PEDS&INT_CARD&MF_MED&MED_ONC&NEONATAL&NEPHROLOGY&ND_DIS&NEU_SURG&NEUROLOGY&NEU_PSYCH&MIDWIFE&OB_GYN&OCC_MED&OPHTHALMOLOGY&OPTOMETRY&ORAL_SURG&ORTHO_SURG&OTOLARYNGOLOGY&PAIN_MGMT&PED_ALL&PED_CARD&PED_CCM&PED_DENT&PED_ENDO&PED_GASTRO&PED_HEMONC&PED_ID&PED_NEPH&PED_NEURO&PED_PULM&PED_RHEUM&PED_SURG&PEDIATRICS&PHYSIATRY&PLASTIC_SURG&PODIATRY&PREV_MED&PSYCHIATRY&PUL_DIS&RAD_ONC&REP_ENDO&RHEUMATOLOGY&SLEEP_MED&SOC_WORK&SPORTS_MED&SURGERY&SURG_CC&THOR_SURG&UROLOGY&VASC_RAD&VASC_SURG"
0,"FALSE",TRUE,30,NA
1,"True",TRUE,30,NA
2,"pgtp",TRUE,30,NA
3,"geisinger-health-options",TRUE,30,NA
4,"2",TRUE,30,NA
5,"",TRUE,30,NA
6,NA,TRUE,30,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,30,NA
0,"FALSE",TRUE,31,NA
1,"True",TRUE,31,NA
2,"pgtp",TRUE,31,NA
3,"geisinger-health-options",TRUE,31,NA
4,"3",TRUE,31,NA
5,"",TRUE,31,NA
6,NA,TRUE,31,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,31,NA
13,NA,FALSE,31,"&AUTISM_SERVICES"
0,"FALSE",TRUE,32,NA
1,"True",TRUE,32,NA
2,"pgtp",TRUE,32,NA
3,"geisinger-health-options",TRUE,32,NA
4,"4",TRUE,32,NA
5,"",TRUE,32,NA
6,NA,TRUE,32,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,32,NA
0,"FALSE",TRUE,33,NA
1,"True",TRUE,33,NA
2,"pgtp",TRUE,33,NA
3,"geisinger-health-options",TRUE,33,NA
4,"5",TRUE,33,NA
5,"",TRUE,33,NA
6,NA,TRUE,33,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,33,NA
0,"FALSE",TRUE,34,NA
1,"True",TRUE,34,NA
2,"pgtp",TRUE,34,NA
3,"geisinger-health-options",TRUE,34,NA
4,"9",TRUE,34,NA
5,"",TRUE,34,NA
6,NA,TRUE,34,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,34,NA
13,NA,FALSE,34,"&AUTISM_SERVICES&BARIATRIC_SURG&BONE_DENSITY&CARD_CATH&CARD_REHAB&CARDIAC_SURGERY&CHEMO&CTA&DIAG_RADIOLOGY&ECHO&HAND_THERAPY&ICU&LITHOTRIPSY&LTAC&MRA&MRI&MAMMOGRAPHY&NUCLEAR_MED&OBSTETRICS&OT&OPEN_MRI&PT&ULTRASOUND"
0,"FALSE",TRUE,35,NA
1,"True",TRUE,35,NA
2,"pgtp",TRUE,35,NA
3,"geisinger-health-options",TRUE,35,NA
4,"10",TRUE,35,NA
5,"",TRUE,35,NA
6,NA,TRUE,35,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,35,NA
0,"FALSE",TRUE,36,NA
1,"True",TRUE,36,NA
2,"pgtp",TRUE,36,NA
3,"geisinger-health-options",TRUE,36,NA
4,"11",TRUE,36,NA
5,"",TRUE,36,NA
6,NA,TRUE,36,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,36,NA
0,"FALSE",TRUE,37,NA
1,"True",TRUE,37,NA
2,"pgtp",TRUE,37,NA
3,"geisinger-health-options",TRUE,37,NA
4,"12",TRUE,37,NA
5,"",TRUE,37,NA
6,NA,TRUE,37,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,37,NA
13,NA,FALSE,37,"&CARD_EVENT_MON&MOBILE_CARD_TELE&PACEMAKER_MON"
0,"FALSE",TRUE,38,NA
1,"True",TRUE,38,NA
2,"pgtp",TRUE,38,NA
3,"geisinger-health-options",TRUE,38,NA
4,"16",TRUE,38,NA
5,"",TRUE,38,NA
6,NA,TRUE,38,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,38,NA
13,NA,FALSE,38,"&BONE_DENSITY&BREAST_MRI&CT_SCANS&CTA&DIAG_RADIOLOGY&ECHO&FLUOROSCOPY&MRA&MRCP&MRI&MAMMOGRAPHY&MOBILE_XRAY&OPEN_MRI&PET_SCANS&ULTRASOUND"
0,"FALSE",TRUE,39,NA
1,"True",TRUE,39,NA
2,"pgtp",TRUE,39,NA
3,"geisinger-health-options",TRUE,39,NA
4,"17",TRUE,39,NA
5,"",TRUE,39,NA
6,NA,TRUE,39,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,39,NA
13,NA,FALSE,39,"&AQUATIC_THERAPY&AUTISM_SERVICES&CARD_REHAB&HAND_THERAPY&IP_REHAB&LYMPHADEMA_PUMPS&OT&OP_PUL_REHAB&PEDS_OT&PEDS_PT&PT&ST"
0,"FALSE",TRUE,40,NA
1,"True",TRUE,40,NA
2,"pgtp",TRUE,40,NA
3,"geisinger-health-options",TRUE,40,NA
4,"18",TRUE,40,NA
5,"",TRUE,40,NA
6,NA,TRUE,40,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,40,NA
13,NA,FALSE,40,"&AED&BARIATRIC_BED&CPR&EHR&IP_HOSPICE&BI_PAP&ISOLATION&OUTPAT_REHAB&PSYCH_DEMENTIA&RESPITE&TPN&VENT_BEDS_LTC&VENT_BEDS_WEANING&WOUND_OST_NURSE"
0,"FALSE",TRUE,41,NA
1,"True",TRUE,41,NA
2,"pgtp",TRUE,41,NA
3,"geisinger-health-options",TRUE,41,NA
4,"27",TRUE,41,NA
5,"",TRUE,41,NA
6,NA,TRUE,41,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,41,NA
0,"FALSE",TRUE,42,NA
1,"True",TRUE,42,NA
2,"pgtp",TRUE,42,NA
3,"geisinger-health-options",TRUE,42,NA
4,"19",TRUE,42,NA
5,"",TRUE,42,NA
6,NA,TRUE,42,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,42,NA
0,"FALSE",TRUE,43,NA
1,"True",TRUE,43,NA
2,"pgtp",TRUE,43,NA
3,"geisinger-health-options",TRUE,43,NA
4,"1",TRUE,43,NA
5,"",TRUE,43,NA
6,NA,TRUE,43,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,43,NA
0,"FALSE",TRUE,44,NA
1,"True",TRUE,44,NA
2,"pgtp",TRUE,44,NA
3,"geisinger-health-options",TRUE,44,NA
4,"7",TRUE,44,NA
14,NA,TRUE,44,"AL&AK&AZ&AR&CA&CO&CT&DE&FL&GA&HI&ID&IL&IN&IA&KS&KY&LA&ME&MD&MA&MI&MN&MS&MO&MT&NE&NV&NH&NJ&NM&NY&NC&ND&OH&OK&OR&PA&RI&SC&SD&TN&TX&UT&VT&VA&WA&WV&WI&WY"
15,NA,TRUE,44,""
12,"",FALSE,44,NA
13,NA,FALSE,44,"&AIR_CLEAR_SYS&BI_DIRECT_DEVICE&BONE_GROWTH&CPMS&CUST_REHAB_EQ&DYNA_SPLINT_DEV&INSULIN_PUMPS&LYMPHADEMA_PUMPS&OSTOMY_SUPPLIES&PWR_WHEEL_CHAIRS&SCOOTERS&SEATLIFT_CHAIR&SPLINT&UROLOGICAL_SUP&WOUND_OST_SUP&WOUND_VAC_SUP"
0,"FALSE",TRUE,45,NA
1,"True",TRUE,45,NA
2,"pgtp",TRUE,45,NA
3,"geisinger-health-options",TRUE,45,NA
4,"8",TRUE,45,NA
14,NA,TRUE,45,"AL&AK&AZ&AR&CA&CO&CT&DE&FL&GA&HI&ID&IL&IN&IA&KS&KY&LA&ME&MD&MA&MI&MN&MS&MO&MT&NE&NV&NH&NJ&NM&NY&NC&ND&OH&OK&OR&PA&RI&SC&SD&TN&TX&UT&VT&VA&WA&WV&WI&WY"
15,NA,TRUE,45,""
12,"",FALSE,45,NA
13,NA,FALSE,45,"&HOME_HEALTH&HH_MAT_CHILD&HOSPICE"
0,"FALSE",TRUE,46,NA
1,"True",TRUE,46,NA
2,"pgtp",TRUE,46,NA
3,"geisinger-health-options",TRUE,46,NA
4,"13",TRUE,46,NA
5,"",TRUE,46,NA
6,NA,TRUE,46,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,46,NA
0,"FALSE",TRUE,47,NA
1,"True",TRUE,47,NA
2,"pgtp",TRUE,47,NA
3,"geisinger-health-options",TRUE,47,NA
4,"30",TRUE,47,NA
5,"",TRUE,47,NA
6,NA,TRUE,47,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,47,NA
0,"FALSE",TRUE,48,NA
1,"True",TRUE,48,NA
2,"pgtp",TRUE,48,NA
3,"geisinger-health-options",TRUE,48,NA
4,"14",TRUE,48,NA
5,"",TRUE,48,NA
6,NA,TRUE,48,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,48,NA
0,"FALSE",TRUE,49,NA
1,"True",TRUE,49,NA
2,"pgtp",TRUE,49,NA
3,"geisinger-health-options",TRUE,49,NA
4,"15",TRUE,49,NA
5,"",TRUE,49,NA
6,NA,TRUE,49,"10&20&30&40&50&60&70&80&90&100"
12,"",FALSE,49,NA
13,NA,FALSE,49,"&MAST_SUPPLIES&ORTHO_DEV_LL&ORTHO_DEV_UL&ORTHO_SHOES&ORTHOTICS&PROSTHETICS&PROST_CUSTOM"
0,"FALSE",TRUE,50,NA
1,"True",TRUE,50,NA
2,"pghm",TRUE,50,NA
3,"geisinger-health-plan",TRUE,50,NA
4,"-1",TRUE,50,NA
5,"",TRUE,50,NA
6,NA,TRUE,50,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,50,NA
8,"",FALSE,50,NA
9,NA,FALSE,50,"&ACUPUNCTURE&ADOL_MED&ALLERGY&CARDIOLOGY&CHIRO&CLIN_GEN&CLIN_NEU&COL_SURG&CC_MED&DERMATOLOGY&DERMPATH&ENDO&FP&GASTRO&GP&GERIATRICS&GYN_ONC&GYNECOLOGY&HAND_SURG&HEMATOLOGY&INF_DIS&INT_MED&IM_PEDS&INT_CARD&MF_MED&MED_ONC&NEONATAL&NEPHROLOGY&ND_DIS&NEU_SURG&NEUROLOGY&NEU_PSYCH&MIDWIFE&OB_GYN&OCC_MED&OPHTHALMOLOGY&OPTOMETRY&ORAL_SURG&ORTHO_SURG&OTOLARYNGOLOGY&PAIN_MGMT&PED_ALL&PED_CARD&PED_CCM&PED_DENT&PED_ENDO&PED_GASTRO&PED_HEMONC&PED_ID&PED_NEPH&PED_NEURO&PED_PULM&PED_RHEUM&PED_SURG&PEDIATRICS&PHYSIATRY&PLASTIC_SURG&PODIATRY&PREV_MED&PSYCHIATRY&PUL_DIS&RAD_ONC&REP_ENDO&RHEUMATOLOGY&SLEEP_MED&SOC_WORK&SPORTS_MED&SURGERY&SURG_CC&THOR_SURG&UROLOGY&VASC_RAD&VASC_SURG"
10,"TRUE",FALSE,50,NA
11,"TRUE",FALSE,50,NA
0,"FALSE",TRUE,52,NA
1,"True",TRUE,52,NA
2,"pghm",TRUE,52,NA
3,"geisinger-health-plan",TRUE,52,NA
4,"21",TRUE,52,NA
5,"",TRUE,52,NA
6,NA,TRUE,52,"10&20&30&40&50&60&70&80&90&100"
10,"TRUE",FALSE,52,NA
11,"TRUE",FALSE,52,NA
12,"",FALSE,52,NA
0,"FALSE",TRUE,53,NA
1,"True",TRUE,53,NA
2,"pghm",TRUE,53,NA
3,"geisinger-health-plan",TRUE,53,NA
4,"23",TRUE,53,NA
5,"",TRUE,53,NA
6,NA,TRUE,53,"10&20&30&40&50&60&70&80&90&100"
7,"",FALSE,53,NA
8,"",FALSE,53,NA
9,NA,FALSE,53,"&FP&GP&GERIATRICS&INT_MED&IM_PEDS&PEDIATRICS"
10,"TRUE",FALSE,53,NA
